Continent,date,Total_deaths,Total_cases
Asia,2020-02-24,28335,1982733
Asia,2020-03-01,36038,3580263
Asia,2020-04-01,104309,11361106
Asia,2020-05-01,178005,12357371
Asia,2020-06-01,131592,5722874
Asia,2020-07-01,144395,8180214
Asia,2020-08-01,49731,3072751
Asia,2020-09-01,52410,3554777
Asia,2020-10-01,48207,3045973
Asia,2020-11-01,48884,3076661
Asia,2020-12-01,45451,3100559
Asia,2021-01-01,35864,2407542
Europe,2020-02-25,110863,3976577
Europe,2020-03-01,131527,5980134
Europe,2020-04-01,205552,5907679
Europe,2020-05-01,95189,2974905
Europe,2020-06-01,46498,1822161
Europe,2020-07-01,41007,4011266
Europe,2020-08-01,10625,856426
Europe,2020-09-01,14854,1450608
Europe,2020-10-01,43304,4870920
Europe,2020-11-01,128957,7381951
Europe,2020-12-01,150105,6462919
Europe,2021-01-01,158491,6549741
Africa,2020-02-25,12735,327693
Africa,2020-03-01,9253,325784
Africa,2020-04-01,10459,373358
Africa,2020-05-01,11440,390567
Africa,2020-06-01,18236,922496
Africa,2020-07-01,36670,1727458
Africa,2020-08-01,11043,358331
Africa,2020-09-01,6051,229700
Africa,2020-10-01,6990,303539
Africa,2020-11-01,9139,388849
Africa,2020-12-01,13476,586136
Africa,2021-01-01,25503,809158
"North America",2021-02-04,97737,2849761
"North America",2021-03-01,63663,2417265
"North America",2021-04-01,108515,3363415
"North America",2021-05-01,84035,2223387
"North America",2021-06-01,64515,1846411
"North America",2021-07-01,71114,4358647
"North America",2020-08-01,51124,1829323
"North America",2020-09-01,39422,1505079
"North America",2020-10-01,41600,2308408
"North America",2020-11-01,57269,4955478
"North America",2020-12-01,107296,7133826
"North America",2021-01-01,137932,7004785
"South America",2020-01-01,60593,2683677
"South America",2020-02-01,64073,2090233
"South America",2020-03-01,101417,3195963
"South America",2020-04-01,146056,3894419
"South America",2020-05-01,160743,4630116
"South America",2020-06-01,167383,5421579
"South America",2020-07-01,143236,4500217
"South America",2020-08-01,67575,2240444
"South America",2020-09-01,55747,1762746
"South America",2020-10-01,43991,1600356
"South America",2020-11-01,32100,1465491
"South America",2020-12-01,39150,2063883
Oceania,2020-01-26,0,622
Oceania,2020-02-01,4,681
Oceania,2020-03-01,67,10380
Oceania,2020-04-01,142,8718
Oceania,2020-05-01,70,6065
Oceania,2020-06-01,29,6507
Oceania,2020-07-01,350,39317
Oceania,2020-08-01,464,9982
Oceania,2020-09-01,236,1452
Oceania,2020-10-01,19,677
Oceania,2020-11-01,1,506
Oceania,2020-12-01,3,747
